id,name,slug,sku,price,currency,on_sale,in_stock,permalink,image,categories
4025,Highland 2ltrs,highland-2ltrs,SVA-1691006089540,1.29,GBP,FALSE,TRUE,https://fremu.co.uk/product/highland-2ltrs/,https://fremu.co.uk/wp-content/uploads/2023/10/Highland-Spring-2L-Plastic-1-2.jpg,Category: Drink
3856,Sun exotic -Pineapple &#038;Coconut &#8211; 288ml,sun-exotic-pineapple-coconut-288ml,SVA-1686066575286,0.69,GBP,FALSE,TRUE,https://fremu.co.uk/product/sun-exotic-pineapple-coconut-288ml/,https://fremu.co.uk/wp-content/uploads/2023/10/sun-exotic-pineapple-and-coconut-288ml-price-marked-carton.jpg,Category: Drink
3734,Volvic mineral water -1ltr,volvic-mineral-water-1ltr,SVA-1685705755228,0.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/volvic-mineral-water-1ltr/,https://fremu.co.uk/wp-content/uploads/2023/10/images-1.jpeg,Category: Drink
3855,Rubicon Still-Pineapple,rubicon-still-pineapple,SVA-1686066176519,1.49,GBP,FALSE,FALSE,https://fremu.co.uk/product/rubicon-still-pineapple/,https://fremu.co.uk/wp-content/uploads/2023/10/rubicon-pineapple.jpg,Category: Drink
3853,Rubicon Still Mango-1lt,rubicon-still-mango-1lt,SVA-1686065778164,1.49,GBP,FALSE,FALSE,https://fremu.co.uk/product/rubicon-still-mango-1lt/,https://fremu.co.uk/wp-content/uploads/2023/10/ii.png,Category: Drink
3861,Ribena Blackcurrant pack of 4,ribena-blackcurrant-pack-of-4,SVA-1686068736932,1.49,GBP,FALSE,FALSE,https://fremu.co.uk/product/ribena-blackcurrant-pack-of-4/,https://fremu.co.uk/wp-content/uploads/2023/10/ribena.jpg,Category: Drink
3857,Robinson fruit shoot-summer fruit-pack of 4,robinson-fruit-shoot-summer-fruit-pack-of-4,SVA-1686067166339,1,GBP,FALSE,TRUE,https://fremu.co.uk/product/robinson-fruit-shoot-summer-fruit-pack-of-4/,https://fremu.co.uk/wp-content/uploads/2023/10/305554-fruit-shoot-s-frt.jpg,Category: Drink
4024,Mirinda-2.28L,mirinda-2-25-lts,SVA-1691005893293,2.99,GBP,FALSE,FALSE,https://fremu.co.uk/product/mirinda-2-25-lts/,https://fremu.co.uk/wp-content/uploads/2023/10/Mirinda-Orange-2.25l-x-1.png,Category: Drink
3849,Maltina classic can-330ml,maltina-classic-can-330ml,SVA-1686064168083,0.89,GBP,FALSE,TRUE,https://fremu.co.uk/product/maltina-classic-can-330ml/,https://fremu.co.uk/wp-content/uploads/2023/10/maltine.png,Category: Drink
3953,Juice Burst,juice-burst,SVA-1687799288263,0.99,GBP,FALSE,TRUE,https://fremu.co.uk/product/juice-burst/,https://fremu.co.uk/wp-content/uploads/2023/10/6_8_68ad47901c7fee79e271599e5f8bfa48d54c22ec04929cdf7e831c51c8ca7871.jpeg,Category: Drink
